Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Number,Col,Don,Dr,Lady,Major,Master,Miss,Mlle,Mme,Mr,Mrs,Ms,Rev,Sir,the Countess,Q,S
False,3,1,22.0,1,0,7.25,21171,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,1,0,38.0,1,0,71.2833,17599,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,3,0,26.0,0,0,7.925,3101282,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
True,1,0,35.0,1,0,53.1,113803,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,3,1,35.0,0,0,8.05,373450,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,29.53641141141141,0,0,8.4583,330877,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
False,1,1,54.0,0,0,51.8625,17463,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,2.0,3,1,21.075,349909,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
True,3,0,27.0,0,2,11.1333,347742,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
True,2,0,14.0,1,0,30.0708,237736,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,3,0,4.0,1,1,16.7,9549,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
True,1,0,58.0,0,0,26.55,113783,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
False,3,1,20.0,0,0,8.05,2151,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,0,14.0,0,0,7.8542,350406,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
True,2,0,55.0,0,0,16.0,248706,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,3,1,2.0,4,1,29.125,382652,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
True,2,1,29.53641141141141,0,0,13.0,244373,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,0,31.0,1,0,18.0,345763,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
True,3,0,29.53641141141141,0,0,7.225,2649,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
False,2,1,35.0,0,0,26.0,239865,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,2,1,34.0,0,0,13.0,248698,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,3,0,15.0,0,0,8.0292,330923,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
True,1,1,28.0,0,0,35.5,113788,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,0,8.0,3,1,21.075,349909,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
False,3,1,29.53641141141141,0,0,7.225,2631,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,3,0,29.53641141141141,0,0,7.8792,330959,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,3,1,29.53641141141141,0,0,7.8958,349216,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,1,1,40.0,0,0,27.7208,17601,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,3,0,29.53641141141141,0,0,7.75,335677,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,2,1,66.0,0,0,10.5,24579,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,1,1,28.0,1,0,82.1708,17604,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
False,1,1,42.0,1,0,52.0,113789,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,3,1,29.53641141141141,0,0,7.2292,2677,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
False,3,1,21.0,0,0,8.05,2152,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,0,18.0,2,0,18.0,345764,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
True,3,0,14.0,1,0,11.2417,2651,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,3,0,40.0,1,0,9.475,7546,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,2,0,27.0,1,0,21.0,11668,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,3,1,29.53641141141141,0,0,7.8958,349253,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,2,0,3.0,1,2,41.5792,2123,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,3,0,19.0,0,0,7.8792,330958,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,3,1,29.53641141141141,0,0,8.05,23567,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,29.53641141141141,1,0,15.5,370371,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
True,3,0,29.53641141141141,0,0,7.75,14311,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,3,1,29.53641141141141,2,0,21.6792,2662,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
False,3,0,18.0,1,0,17.8,349237,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,3,1,7.0,4,1,39.6875,3101295,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
False,3,1,21.0,0,0,7.8,39886,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,1,0,49.0,1,0,76.7292,17572,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,2,0,29.0,1,0,26.0,2926,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,1,1,65.0,0,1,61.9792,113509,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
